suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,coalesced,coalesced,65536,65536,2097152,32,1,0.08372479975223542,262144,262144,0,524288,6.262039462041255,6.262039462041255,495.0,1.2650584771800515,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,1,0.11025280058383942,262144,262144,0,524288,4.755325916653848,4.755325916653848,495.0,0.9606719023543128,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,2,0.0800831988453865,262144,262144,0,524288,6.546791431399018,6.546791431399018,495.0,1.3225841275553571,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,4,0.0792832002043724,262144,262144,0,524288,6.612851129224296,6.612851129224296,495.0,1.3359295210554134,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,8,0.08103039860725403,262144,262144,0,524288,6.4702631236108035,6.4702631236108035,495.0,1.307123863355718,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,16,0.36070399880409243,262144,262144,0,524288,1.4535131346984436,1.4535131346984436,495.0,0.2936390171107967,0.125,16,16,32,0.5,,,
memory,strided,strided,65536,65536,2097152,32,32,0.3892032027244568,262144,262144,0,524288,1.3470803845650232,1.3470803845650232,495.0,0.2721374514272774,0.125,16,16,32,0.5,,,
memory,random_gather,random_gather,65536,65536,2097152,32,0,0.3311360001564026,262144,262144,262144,786432,2.3749516803626043,2.3749516803626043,495.0,0.47978821825507156,0.08333333333333333,16,16,32,0.5,,,
memory,coalesced,coalesced,65536,65536,2097152,64,1,0.07086079865694046,262144,262144,0,524288,7.398844070869762,7.398844070869762,495.0,1.4947159739130833,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,1,0.07116159945726394,262144,262144,0,524288,7.367569082182601,7.367569082182601,495.0,1.4883977943803233,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,2,0.07089920192956925,262144,262144,0,524288,7.39483641185163,7.39483641185163,495.0,1.4939063458286121,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,4,0.07315200269222259,262144,262144,0,524288,7.167103848214145,7.167103848214145,495.0,1.447899767315989,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,8,0.07582080066204071,262144,262144,0,524288,6.914830698464017,6.914830698464017,495.0,1.3969354946391952,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,16,0.358054393529892,262144,262144,0,524288,1.4642691431078056,1.4642691431078056,495.0,0.295811948102587,0.125,16,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,64,32,0.39470720291137695,262144,262144,0,524288,1.3282960030443571,1.3282960030443571,495.0,0.26834262687764787,0.125,16,32,32,1.0,,,
memory,random_gather,random_gather,65536,65536,2097152,64,0,0.32757759690284727,262144,262144,262144,786432,2.4007502571466737,2.4007502571466737,495.0,0.48500005194882295,0.08333333333333333,16,32,32,1.0,,,
memory,coalesced,coalesced,65536,65536,2097152,128,1,0.06718720048666,262144,262144,0,524288,7.803391065595852,7.803391065595852,495.0,1.5764426395143134,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,1,0.06837759763002396,262144,262144,0,524288,7.667540512856364,7.667540512856364,495.0,1.548998083405326,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,2,0.06890240013599395,262144,262144,0,524288,7.609139869804288,7.609139869804288,495.0,1.537199973697836,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,4,0.10215680003166198,262144,262144,0,524288,5.132188947162644,5.132188947162644,495.0,1.0368058479116453,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,8,0.12570240050554277,262144,262144,0,524288,4.170867047020966,4.170867047020966,495.0,0.842599403438579,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,16,0.34772480130195615,262144,262144,0,524288,1.5077670561229841,1.5077670561229841,495.0,0.3045994052773705,0.125,8,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,128,32,0.4289727985858917,262144,262144,0,524288,1.2221940452362359,1.2221940452362359,495.0,0.2469078879265123,0.125,8,32,32,1.0,,,
memory,random_gather,random_gather,65536,65536,2097152,128,0,0.33569920659065244,262144,262144,262144,786432,2.342668628820937,2.342668628820937,495.0,0.4732663896607954,0.08333333333333333,8,32,32,1.0,,,
memory,coalesced,coalesced,65536,65536,2097152,256,1,0.09128320068120957,262144,262144,0,524288,5.743532173362141,5.743532173362141,495.0,1.1603095299721498,0.125,4,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,256,1,0.06997759938240052,262144,262144,0,524288,7.492226149899325,7.492226149899325,495.0,1.513581040383702,0.125,4,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,256,2,0.06780160069465638,262144,262144,0,524288,7.732678795610211,7.732678795610211,495.0,1.5621573324465075,0.125,4,32,32,1.0,,,
